key,value
ns1.youngdong.ac.kr,202.30.58.5
tx.micro.net.pk,203.135.2.194
hakuba.janis.or.jp,210.232.42.3
mail.interq.or.jp,210.157.0.87
mx1.freemail.ne.jp,210.235.164.21
webnetra.entelnet.bo,166.114.10.28
opcwdns.opcw.nl,195.193.177.150
rayo.pereira.multi.net.co,206.49.164.2
most.cob.net.ba,195.222.48.5
ns.huawei.com.cn,202.96.135.140
sedesol.sedesol.gob.mx,148.233.6.164
petra.nic.gov.jo,193.188.71.4
eol1.egyptonline.com,206.48.31.2
mailgate.sbell.com.cn,202.96.203.173
post.netchina.com.cn,202.94.1.48
sky.kies.co.kr,203.236.114.1
mn.mn.co.cu,216.72.24.114
mail.a-1.net.cn,210.77.147.84
mail.a-1.net.cn,210.77.147.84
axil.eureka.lk,202.21.32.1
segob.gob.mx,200.38.166.2
info.ccs.net.mx,200.36.53.160
docs.ccs.net.mx,200.36.53.150
noya.bupt.edu.cn,202.112.96.2
fw433.npic.ac.cn,168.160.71.3
mx.iplus.net.tw,202.145.137.19
mx.iplus.net.tw,202.145.137.19
mx.iplus.net.tw,202.145.137.19
mx.iplus.net.tw,202.145.137.19
oiz.sarenet.es,192.148.167.17
oiz.sarenet.es,192.148.167.17
oiz.sarenet.es,192.148.167.17
dns1.unam.mx,132.248.204.1
ns.unam.mx.unam.mx,132.248.253.1
www.caramail.com,195.68.99.20
orhi.sarenet.es,192.148.167.5
orhi.sarenet.es,192.148.167.5
anie.sarenet.es,192.148.167.2
anie.sarenet.es,192.148.167.2
anie.sarenet.es,192.148.167.2
anie.sarenet.es,192.148.167.2
burgoa.sarenet.es,194.30.32.242
burgoa.sarenet.es,194.30.32.242
burgoa.sarenet.es,194.30.32.242
burgoa.sarenet.es,194.30.32.242
dns2.unam.mx,132.248.10.2
dmn2.bjpeu.edu.cn,202.204.193.1
oiz.sarenet.es,192.148.167.17
noya.bupt.edu.cn,202.112.96.2
noya.bupt.edu.cn,202.112.96.2
noya.bupt.edu.cn,202.112.96.2
mail.bangla.net,203.188.252.3
mail.bangla.net,203.188.252.3
mail.bangla.net,203.188.252.3
ns1.bangla.net,203.188.252.2
ns1.bangla.net,203.188.252.2
war.rkts.com.tr,195.142.144.125
war.rkts.com.tr,195.142.144.125
war.rkts.com.tr,195.142.144.125
gambero3.cs.tin.it,194.243.154.62
sussi.cressoft.com.pk,202.125.140.194
sussi.cressoft.com.pk,202.125.140.194
sussi.cressoft.com.pk,202.125.140.194
dcproxy1.thrunet.com,210.117.65.44
dcproxy1.thrunet.com,210.117.65.44
dcproxy1.thrunet.com,210.117.65.44
pop.net21pk.com,203.135.45.66
